骨架,格式,骨骼,预览,宽,高,包围盒,姿势,setup隐藏,警告,首条警告
class/dragonbones/combo/QBlockCombo/gameplay_combo_in_ske.json,DragonBones,145,_预览/class_dragonbones_combo_QBlockCombo_gameplay_combo_in_ske.png,900,1142,"-518,-660~518,661",setup pose,,0,
class/dragonbones/combo/comb_ske-lite.json,DragonBones,9,_预览/class_dragonbones_combo_comb_ske-lite.png,900,877,"-179,-182~187,175",setup pose,,0,
class/dragonbones/combo/trait/comboEffectCtrl/gameplay_dragonbone_combo_grade_ske.json,DragonBones,18,_预览/class_dragonbones_combo_trait_comboEffectCtrl_gameplay_dragonbone_combo_grade_ske.png,900,900,"-111,-112~112,111",动画首帧 efx_5,,1,摆的是动画 efx_5 的第 0 帧(显示插槽最多的那一帧)
class/dragonbones/combo/trait/optimizeResourcesEffect/gameplay_dragonbone_combo_grade_ske.json,DragonBones,18,_预览/class_dragonbones_combo_trait_optimizeResourcesEffect_gameplay_dragonbone_combo_grade_ske.png,900,900,"-111,-112~112,111",动画首帧 efx_5,,1,摆的是动画 efx_5 的第 0 帧(显示插槽最多的那一帧)
class/dragonbones/gameOver/traits/ComboReachTargetTrait/NewProject_ske.json,DragonBones,82,_预览/class_dragonbones_gameOver_traits_ComboReachTargetTrait_NewProject_ske.png,900,1232,"-612,-936~607,745",setup pose,,0,
class/dragonbones/gameOver/traits/ComboReachTargetTrait/king_ske.json,DragonBones,3,_预览/class_dragonbones_gameOver_traits_ComboReachTargetTrait_king_ske.png,900,1407,"-46,-9~-29,17",动画首帧 kinga_light,,1,摆的是动画 kinga_light 的第 0 帧(显示插槽最多的那一帧)
class/dragonbones/guide/prompt_ske.json,DragonBones,6,_预览/class_dragonbones_guide_prompt_ske.png,900,645,"-40,-24~29,25",setup pose,,0,
class/dragonbones/topInfo/comnb_ske-lite.json,DragonBones,4,_预览/class_dragonbones_topInfo_comnb_ske-lite.png,900,808,"-105,-94~105,94",setup pose,,0,
class/dragonbones/topInfo/comnb_ske.json,DragonBones,4,_预览/class_dragonbones_topInfo_comnb_ske.png,900,804,"-105,-94~105,94",setup pose,,0,
class/dragonbones/topInfo/traits/BComboReplaceHeartEffectTrait/gameplay_comboTips_color_ske.json,DragonBones,4,_预览/class_dragonbones_topInfo_traits_BComboReplaceHeartEffectTrait_gameplay_comboTips_color_ske.png,900,804,"-105,-94~105,94",setup pose,,0,
class/dragonbones/topInfo/traits/Combo_tips_lv_blockTrait/gameplay_combo_tips_ske.json,DragonBones,26,_预览/class_dragonbones_topInfo_traits_Combo_tips_lv_blockTrait_gameplay_combo_tips_ske.png,900,916,"-92,-95~92,93",setup pose,,0,
class/dragonbones/win/NewProject_ske.json,DragonBones,36,_预览/class_dragonbones_win_NewProject_ske.png,900,740,"-787,-673~793,620",setup pose,,0,
gl_fruit/assets/effects/BoardFullPanel/BoardFullPanel.json,Spine 3.8.99,10,_预览/gl_fruit_assets_effects_BoardFullPanel_BoardFullPanel.png,900,464,"-385,-86~385,301",setup pose,,0,
gl_fruit/assets/effects/GoldWatermelonPanel/GoldWatermelonPanel.json,Spine 3.8.99,369,_预览/gl_fruit_assets_effects_GoldWatermelonPanel_GoldWatermelonPanel.png,900,1146,"-239,-351~234,256",setup pose,,0,
gl_fruit/assets/effects/HsFruitMerge_Click_fx_01_B/HsFruitMerge_Click_fx_01_B.json,Spine 3.8.99,16,_预览/gl_fruit_assets_effects_HsFruitMerge_Click_fx_01_B_HsFruitMerge_Click_fx_01_B.png,900,899,"-128,-128~128,128",setup pose,,0,
gl_fruit/assets/effects/Lose_hint_fx/lose_hint_fx.json,Spine 3.8.99,5,_预览/gl_fruit_assets_effects_Lose_hint_fx_lose_hint_fx.png,900,899,"-79,-79~79,79",setup pose,,0,
gl_fruit/assets/effects/MergeNew_fx_B/MergeNew_fx_B.json,Spine 3.8.99,75,_预览/gl_fruit_assets_effects_MergeNew_fx_B_MergeNew_fx_B.png,900,899,"-34,-34~34,34",setup pose,,0,
gl_fruit/assets/effects/Skin3/Fruit_01/Fruit_01.json,Spine 3.8-from-4.0-from-4.1.24,6,_预览/gl_fruit_assets_effects_Skin3_Fruit_01_Fruit_01.png,900,892,"-38,-38~38,38",setup pose,,0,
gl_fruit/assets/effects/Skin3/Fruit_02/Fruit_02.json,Spine 3.8-from-4.0-from-4.1.24,6,_预览/gl_fruit_assets_effects_Skin3_Fruit_02_Fruit_02.png,900,935,"-46,-48~46,48",setup pose,,0,
gl_fruit/assets/effects/Skin3/Fruit_03/Fruit_03.json,Spine 3.8-from-4.0-from-4.1.24,6,_预览/gl_fruit_assets_effects_Skin3_Fruit_03_Fruit_03.png,900,942,"-58,-61~58,61",setup pose,,0,
gl_fruit/assets/effects/Skin3/Fruit_04/Fruit_04.json,Spine 3.8-from-4.0-from-4.1.24,6,_预览/gl_fruit_assets_effects_Skin3_Fruit_04_Fruit_04.png,900,945,"-71,-75~71,75",setup pose,,0,
gl_fruit/assets/effects/Skin3/Fruit_05/Fruit_05.json,Spine 3.8-from-4.0-from-4.1.24,6,_预览/gl_fruit_assets_effects_Skin3_Fruit_05_Fruit_05.png,900,886,"-87,-86~87,86",setup pose,,0,
gl_fruit/assets/effects/Skin3/Fruit_06/Fruit_06.json,Spine 3.8-from-4.0-from-4.1.24,6,_预览/gl_fruit_assets_effects_Skin3_Fruit_06_Fruit_06.png,900,899,"-105,-104~105,104",setup pose,,0,
